W_1,L_1,Pts_1,Opp_1,MOV_1,SOS_1,SRS_1,NRtg_1,W_2,L_2,Pts_2,Opp_2,MOV_2,SOS_2,SRS_2,NRtg_2,Score_dif
36,2,76.6,50.1,26.47,17.84,44.31,66.46,17,16,56.7,57.5,-0.79,-3.16,-3.94,-1.12,36
36,2,76.6,50.1,26.47,17.84,44.31,66.46,21,12,64.4,58.7,5.73,12.24,17.97,29.12,24
36,2,76.6,50.1,26.47,17.84,44.31,66.46,24,11,64.0,55.3,8.71,15.68,22.33,34.03,5
36,2,76.6,50.1,26.47,17.84,44.31,66.46,32,4,70.5,55.6,14.86,16.7,31.57,46.74,35
34,3,79.0,54.2,24.81,15.73,40.55,60.06,21,12,55.5,53.1,2.42,-8.38,-5.95,-0.92,36
34,3,79.0,54.2,24.81,15.73,40.55,60.06,24,10,66.2,53.7,12.47,10.06,22.5,35.21,14
34,3,79.0,54.2,24.81,15.73,40.55,60.06,34,2,74.1,53.1,20.94,1.75,22.69,35.1,10
33,3,79.3,55.5,23.86,15.57,39.43,57.99,24,9,68.5,60.2,8.27,-1.2,7.07,13.5,27
33,3,79.3,55.5,23.86,15.57,39.43,57.99,22,11,62.6,57.5,5.12,11.58,16.71,27.65,26
33,3,79.3,55.5,23.86,15.57,39.43,57.99,28,9,77.9,61.7,16.16,9.98,26.14,37.56,7
33,3,79.3,55.5,23.86,15.57,39.43,57.99,31,5,85.3,58.8,26.56,3.24,24.27,30.65,23
33,5,77.6,56.0,21.61,17.82,38.69,52.45,26,7,28.5,,,-11.67,-3.61,,40
33,5,77.6,56.0,21.61,17.82,38.69,52.45,20,13,61.4,55.5,5.97,17.41,20.75,31.83,22
33,5,77.6,56.0,21.61,17.82,38.69,52.45,23,11,63.6,58.6,5.03,9.72,14.75,24.68,41
33,5,77.6,56.0,21.61,17.82,38.69,52.45,34,3,79.0,54.2,24.81,15.73,40.55,60.06,12
33,5,77.6,56.0,21.61,17.82,38.69,52.45,33,3,79.3,55.5,23.86,15.57,39.43,57.99,1
33,5,77.6,56.0,21.61,17.82,38.69,52.45,31,8,77.0,56.2,20.79,16.14,36.93,54.07,6
31,8,77.0,56.2,20.79,16.14,36.93,54.07,18,17,58.3,53.4,4.86,7.68,7.71,11.31,13
31,8,77.0,56.2,20.79,16.14,36.93,54.07,24,9,67.9,56.2,11.67,7.54,19.21,31.51,13
31,8,77.0,56.2,20.79,16.14,36.93,54.07,23,12,75.8,67.4,8.4,14.3,22.7,34.35,25
31,8,77.0,56.2,20.79,16.14,36.93,54.07,34,3,79.3,56.4,22.89,13.76,36.65,54.55,14
31,8,77.0,56.2,20.79,16.14,36.93,54.07,36,2,76.6,50.1,26.47,17.84,44.31,66.46,9
34,3,79.3,56.4,22.89,13.76,36.65,54.55,20,13,65.3,63.5,1.73,-8.99,-9.49,-5.7,65
34,3,79.3,56.4,22.89,13.76,36.65,54.55,24,9,66.3,59.5,6.82,11.19,18.01,29.52,9
34,3,79.3,56.4,22.89,13.76,36.65,54.55,24,10,74.1,65.6,8.44,14.21,23.78,34.78,10
32,4,70.5,55.6,14.86,16.7,31.57,46.74,21,11,72.4,68.6,3.81,-5.42,-1.61,3.47,45
32,4,70.5,55.6,14.86,16.7,31.57,46.74,31,3,67.1,49.7,17.41,-5.44,11.97,22.82,5
32,4,70.5,55.6,14.86,16.7,31.57,46.74,29,7,73.6,60.0,13.61,12.21,25.82,39.8,7
28,9,77.9,61.7,16.16,9.98,26.14,37.56,25,8,75.9,65.5,10.39,1.52,11.92,19.39,14
28,9,77.9,61.7,16.16,9.98,26.14,37.56,25,9,70.9,62.3,8.68,9.09,17.76,28.24,12
29,7,73.6,60.0,13.61,12.21,25.82,39.8,20,12,57.6,53.7,3.97,-5.88,-1.91,2.35,13
29,7,73.6,60.0,13.61,12.21,25.82,39.8,25,10,76.9,67.6,9.31,10.38,19.69,30.03,2
29,3,74.2,56.4,17.81,7.32,25.14,38.92,19,14,67.1,58.2,8.97,-1.47,4.86,10.48,16
31,5,85.3,58.8,26.56,3.24,24.27,30.65,22,9,71.0,63.9,7.06,12.11,19.17,30.4,6
31,5,85.3,58.8,26.56,3.24,24.27,30.65,28,5,65.6,55.3,10.3,12.1,22.4,33.78,14
31,5,85.3,58.8,26.56,3.24,24.27,30.65,22,13,71.2,60.3,10.91,12.53,23.44,36.55,7
28,5,79.9,62.7,17.15,7.07,24.23,35.68,23,11,63.9,53.4,10.53,-5.84,-2.57,3.73,18
24,10,74.1,65.6,8.44,14.21,23.78,34.78,22,11,68.3,58.7,9.67,1.29,7.26,15.3,11
24,10,74.1,65.6,8.44,14.21,23.78,34.78,24,11,66.1,56.8,9.31,11.66,20.97,33.02,7
22,13,71.2,60.3,10.91,12.53,23.44,36.55,20,12,71.3,64.1,7.16,9.14,16.3,27.42,19
22,13,71.2,60.3,10.91,12.53,23.44,36.55,29,3,74.2,56.4,17.81,7.32,25.14,38.92,10
27,6,67.3,55.2,12.06,11.11,23.17,36.02,27,6,69.7,54.8,14.85,2.08,16.92,28.19,3
23,12,75.8,67.4,8.4,14.3,22.7,34.35,26,8,70.4,62.2,8.26,3.61,11.37,20.48,14
23,12,75.8,67.4,8.4,14.3,22.7,34.35,28,5,79.9,62.7,17.15,7.07,24.23,35.68,5
34,2,74.1,53.1,20.94,1.75,22.69,35.1,27,6,67.3,55.2,12.06,11.11,23.17,36.02,9
24,8,71.7,58.1,13.53,10.06,22.54,35.68,22,12,68.2,66.5,1.71,-3.51,-1.8,1.15,22
24,10,66.2,53.7,12.47,10.06,22.5,35.21,26,6,74.5,66.3,8.22,1.44,9.69,17.72,6
28,5,65.6,55.3,10.3,12.1,22.4,33.78,18,15,61.5,58.5,3.03,-1.23,-0.95,2.78,8
24,11,64.0,55.3,8.71,15.68,22.33,34.03,24,5,69.2,51.8,17.38,-3.71,13.67,24.23,16
24,11,64.0,55.3,8.71,15.68,22.33,34.03,24,8,71.7,58.1,13.53,10.06,22.54,35.68,22
24,11,66.1,56.8,9.31,11.66,20.97,33.02,28,5,71.8,57.5,14.36,1.31,15.68,26.07,11
20,13,61.4,55.5,5.97,17.41,20.75,31.83,24,8,73.0,64.4,8.56,1.59,10.15,17.53,25
24,8,73.5,64.0,9.47,10.42,19.89,31.33,25,8,63.6,54.7,8.88,-4.59,1.6,8.34,30
25,10,76.9,67.6,9.31,10.38,19.69,30.03,21,12,74.2,67.1,7.09,8.34,15.43,24.18,9
24,9,67.9,56.2,11.67,7.54,19.21,31.51,20,11,60.3,58.4,1.9,12.37,14.27,22.53,18
24,9,66.3,59.5,6.82,11.19,18.01,29.52,19,14,76.3,66.8,9.52,13.66,21.93,30.98,3
21,12,64.4,58.7,5.73,12.24,17.97,29.12,21,11,60.9,56.3,4.63,10.43,15.05,25.61,8
25,9,70.9,62.3,8.68,9.09,17.76,28.24,26,7,63.5,51.8,11.67,-7.01,4.54,12.33,4
22,11,62.6,57.5,5.12,11.58,16.71,27.65,22,11,65.4,56.9,8.52,11.35,19.87,32.14,5
23,11,63.6,58.6,5.03,9.72,14.75,24.68,23,8,70.0,61.5,8.52,0.81,9.33,18.77,15
23,11,63.6,58.6,5.03,9.72,14.75,24.68,24,8,73.5,64.0,9.47,10.42,19.89,31.33,2
31,3,67.1,49.7,17.41,-5.44,11.97,22.82,22,11,65.2,55.0,10.24,10.86,21.1,34.46,10
33,5,76.4,47.0,29.37,15.62,44.99,68.65,17,16,59.3,59.2,0.15,-7.19,-8.85,-3.73,36
33,5,76.4,47.0,29.37,15.62,44.99,68.65,20,14,57.1,57.4,-0.24,17.35,17.11,27.53,46
33,5,76.4,47.0,29.37,15.62,44.99,68.65,26,7,75.7,62.5,13.24,10.93,24.17,37.2,18
33,5,76.4,47.0,29.37,15.62,44.99,68.65,28,7,74.0,57.7,16.23,9.78,24.0,35.51,15
40,0,78.4,50.9,27.55,16.63,43.27,61.57,17,16,53.2,52.5,0.67,0.18,0.84,5.21,41
40,0,78.4,50.9,27.55,16.63,43.27,61.57,20,13,67.5,60.8,6.76,11.51,18.27,30.7,19
40,0,78.4,50.9,27.55,16.63,43.27,61.57,26,9,70.9,59.6,11.37,10.7,22.07,34.55,15
40,0,78.4,50.9,27.55,16.63,43.27,61.57,27,9,74.0,60.1,13.86,17.25,31.11,48.16,19
40,0,78.4,50.9,27.55,16.63,43.27,61.57,35,2,76.0,55.3,20.7,14.39,35.09,53.39,12
40,0,78.4,50.9,27.55,16.63,43.27,61.57,35,4,78.9,52.9,26.0,16.96,41.91,62.9,19
35,4,78.9,52.9,26.0,16.96,41.91,62.9,24,9,70.4,53.3,17.06,-7.2,2.23,10.57,31
35,4,78.9,52.9,26.0,16.96,41.91,62.9,25,10,70.0,61.4,8.6,11.98,20.58,32.28,11
35,4,78.9,52.9,26.0,16.96,41.91,62.9,31,4,63.9,54.4,9.43,3.46,12.89,24.74,44
35,4,78.9,52.9,26.0,16.96,41.91,62.9,31,5,77.3,60.9,16.36,11.88,28.24,43.19,31
35,4,78.9,52.9,26.0,16.96,41.91,62.9,33,5,76.4,47.0,29.37,15.62,44.99,68.65,8
35,2,76.0,55.3,20.7,14.39,35.09,53.39,26,5,65.2,46.3,18.87,-6.44,11.19,22.91,22
35,2,76.0,55.3,20.7,14.39,35.09,53.39,24,10,63.8,52.0,11.76,9.82,21.59,35.27,17
35,2,76.0,55.3,20.7,14.39,35.09,53.39,25,10,61.2,50.3,10.91,8.92,19.17,32.29,16
35,2,76.0,55.3,20.7,14.39,35.09,53.39,27,6,75.2,55.9,19.21,12.99,32.2,48.21,12
27,6,75.2,55.9,19.21,12.99,32.2,48.21,20,13,59.9,57.5,2.45,-5.72,-3.27,2.53,35
27,6,75.2,55.9,19.21,12.99,32.2,48.21,23,10,71.8,61.5,10.3,8.72,19.03,32.09,16
27,6,75.2,55.9,19.21,12.99,32.2,48.21,24,10,61.5,56.4,5.12,13.85,18.97,32.3,27
27,9,74.0,60.1,13.86,17.25,31.11,48.16,23,9,80.1,69.0,11.06,-6.23,4.83,12.68,23
27,9,74.0,60.1,13.86,17.25,31.11,48.16,23,11,72.0,65.8,6.26,12.73,19.0,30.37,15
27,9,74.0,60.1,13.86,17.25,31.11,48.16,21,13,68.6,63.4,5.26,13.8,19.07,30.13,11
26,6,75.9,55.5,20.44,10.86,28.59,41.39,24,8,61.9,54.1,7.84,-1.71,0.89,5.95,29
31,5,77.3,60.9,16.36,11.88,28.24,43.19,18,14,55.4,52.5,2.91,-5.35,-2.44,1.35,15
31,5,77.3,60.9,16.36,11.88,28.24,43.19,23,10,68.8,61.0,7.85,11.18,19.03,31.24,4
31,5,77.3,60.9,16.36,11.88,28.24,43.19,24,11,67.8,58.3,9.54,17.59,25.42,38.65,7
24,11,67.8,58.3,9.54,17.59,25.42,38.65,23,10,58.3,53.4,4.97,-3.62,1.35,7.41,22
24,11,67.8,58.3,9.54,17.59,25.42,38.65,24,9,62.1,52.3,9.76,7.93,17.84,30.37,2
26,7,75.7,62.5,13.24,10.93,24.17,37.2,29,4,67.5,54.2,13.36,-3.67,9.69,19.6,8
26,7,75.7,62.5,13.24,10.93,24.17,37.2,23,11,62.2,52.9,9.32,9.09,17.52,26.79,10
28,7,74.0,57.7,16.23,9.78,24.0,35.51,26,8,23.7,,,-5.12,4.36,,6
28,7,74.0,57.7,16.23,9.78,24.0,35.51,31,2,74.3,55.1,19.21,1.36,20.57,33.74,3
28,7,74.0,57.7,16.23,9.78,24.0,35.51,28,6,75.1,59.5,15.65,6.5,19.02,24.35,17
26,9,70.9,59.6,11.37,10.7,22.07,34.55,25,8,64.4,57.5,6.88,-5.32,1.56,7.48,26
26,9,70.9,59.6,11.37,10.7,22.07,34.55,23,9,60.4,52.8,7.56,11.58,19.03,31.29,12
24,10,63.8,52.0,11.76,9.82,21.59,35.27,18,14,67.3,62.8,4.59,13.92,18.51,29.83,13
21,13,70.8,65.8,5.03,15.93,20.96,33.04,20,12,63.4,58.9,4.5,10.82,15.32,26.57,21
25,10,70.0,61.4,8.6,11.98,20.58,32.28,19,12,71.4,65.9,5.48,10.02,15.5,26.21,10
31,2,74.3,55.1,19.21,1.36,20.57,33.74,18,13,62.7,57.3,5.45,13.3,18.75,30.27,14
25,10,61.2,50.3,10.91,8.92,19.17,32.29,23,9,68.6,56.8,11.75,0.57,9.28,17.51,32
25,10,61.2,50.3,10.91,8.92,19.17,32.29,25,9,65.8,59.2,6.59,10.84,17.42,29.36,11
21,13,68.6,63.4,5.26,13.8,19.07,30.13,24,9,71.4,60.3,11.12,7.52,17.43,27.43,8
21,13,68.6,63.4,5.26,13.8,19.07,30.13,31,2,71.6,55.0,16.58,3.9,20.48,35.12,6
23,9,60.4,52.8,7.56,11.58,19.03,31.29,28,6,74.9,62.2,12.74,-1.79,10.94,19.09,5
23,10,68.8,61.0,7.85,11.18,19.03,31.24,20,12,67.0,59.9,7.13,8.45,15.57,26.41,12
23,10,71.8,61.5,10.3,8.72,19.03,32.09,26,7,66.2,57.3,8.91,-0.16,8.75,18.68,14
28,6,75.1,59.5,15.65,6.5,19.02,24.35,22,10,60.9,55.4,5.47,14.76,20.23,33.1,13
28,6,75.1,59.5,15.65,6.5,19.02,24.35,26,6,75.9,55.5,20.44,10.86,28.59,41.39,11
24,10,61.5,56.4,5.12,13.85,18.97,32.3,20,13,60.7,57.0,3.73,4.3,8.03,16.9,2
24,10,61.5,56.4,5.12,13.85,18.97,32.3,21,13,70.8,65.8,5.03,15.93,20.96,33.04,4
20,13,67.5,60.8,6.76,11.51,18.27,30.7,25,7,74.8,62.8,11.94,8.21,20.14,33.08,5
24,9,62.1,52.3,9.76,7.93,17.84,30.37,23,7,70.1,60.1,10.07,5.38,15.45,25.3,17
23,11,62.2,52.9,9.32,9.09,17.52,26.79,25,7,37.3,,,-1.37,7.82,,8
25,9,65.8,59.2,6.59,10.84,17.42,29.36,24,9,68.2,57.4,10.73,-0.88,7.87,16.02,15
20,14,57.1,57.4,-0.24,17.35,17.11,27.53,24,5,72.0,53.3,18.72,-0.04,18.69,30.5,3
31,4,63.9,54.4,9.43,3.46,12.89,24.74,29,3,74.4,52.4,22.03,-9.34,9.98,21.3,7
31,4,63.9,54.4,9.43,3.46,12.89,24.74,26,8,65.0,55.7,9.29,-2.0,7.29,15.89,3
26,8,65.0,55.7,9.29,-2.0,7.29,15.89,22,9,68.5,58.0,10.48,8.21,18.69,30.69,6
35,4,82.5,49.8,32.72,16.36,49.07,71.7,17,16,64.8,66.8,-2.03,-1.67,-3.7,-0.42,68
35,4,82.5,49.8,32.72,16.36,49.07,71.7,21,12,65.7,56.5,9.24,11.17,18.38,28.36,33
35,4,82.5,49.8,32.72,16.36,49.07,71.7,26,8,75.0,56.8,18.21,12.22,30.43,45.51,26
35,4,82.5,49.8,32.72,16.36,49.07,71.7,30,6,75.4,57.9,17.5,11.53,29.03,43.3,30
35,4,82.5,49.8,32.72,16.36,49.07,71.7,35,2,81.2,59.2,21.95,15.79,37.74,54.66,18
35,4,82.5,49.8,32.72,16.36,49.07,71.7,29,9,71.7,58.6,13.16,13.45,26.61,40.71,33
34,2,81.1,54.1,27.03,15.82,42.29,61.85,17,15,59.2,58.5,0.69,-8.51,-7.82,-5.2,42
34,2,81.1,54.1,27.03,15.82,42.29,61.85,23,10,74.8,65.0,9.82,12.08,22.51,33.12,38
35,2,81.2,59.2,21.95,15.79,37.74,54.66,19,15,73.0,68.6,4.35,0.62,4.98,10.97,33
35,2,81.2,59.2,21.95,15.79,37.74,54.66,21,13,67.5,60.3,7.24,12.6,17.83,26.68,17
35,2,81.2,59.2,21.95,15.79,37.74,54.66,20,14,69.9,65.7,4.18,14.53,15.89,24.76,30
35,2,81.2,59.2,21.95,15.79,37.74,54.66,33,3,74.5,53.9,20.64,12.88,33.52,49.22,11
33,3,74.5,53.9,20.64,12.88,33.52,49.22,28,6,64.1,46.6,17.53,-6.44,9.92,18.41,16
33,3,74.5,53.9,20.64,12.88,33.52,49.22,22,11,73.4,59.7,13.7,11.17,24.87,37.11,9
33,3,74.5,53.9,20.64,12.88,33.52,49.22,25,9,67.0,59.0,8.0,12.49,20.46,32.55,8
33,3,70.5,51.9,18.56,12.67,31.22,47.11,17,17,63.4,60.9,2.44,2.1,1.67,6.23,16
33,3,70.5,51.9,18.56,12.67,31.22,47.11,22,11,60.1,55.4,4.7,11.11,15.81,25.77,33
26,8,75.0,56.8,18.21,12.22,30.43,45.51,30,3,70.5,57.4,13.15,-5.51,7.64,13.22,20
26,8,75.0,56.8,18.21,12.22,30.43,45.51,25,9,61.7,52.1,9.56,10.35,19.91,32.54,25
30,6,75.4,57.9,17.5,11.53,29.03,43.3,21,12,58.0,52.0,6.0,-4.89,1.11,6.37,20
30,6,75.4,57.9,17.5,11.53,29.03,43.3,28,3,75.9,59.1,16.77,3.5,20.27,30.21,14
30,6,75.4,57.9,17.5,11.53,29.03,43.3,32,4,67.0,52.2,14.75,4.79,19.54,33.18,7
27,8,77.6,63.9,13.71,14.26,27.97,41.22,18,13,69.7,54.9,14.74,-2.27,2.39,7.22,21
27,8,77.6,63.9,13.71,14.26,27.97,41.22,25,8,65.7,58.8,6.91,4.0,10.91,19.52,16
27,8,77.6,63.9,13.71,14.26,27.97,41.22,24,11,72.6,66.6,6.03,14.18,20.21,31.82,15
29,9,71.7,58.6,13.16,13.45,26.61,40.71,25,8,67.1,57.3,9.82,0.67,10.49,19.57,25
29,9,71.7,58.6,13.16,13.45,26.61,40.71,25,9,67.9,61.4,6.5,12.17,18.67,29.57,13
29,9,71.7,58.6,13.16,13.45,26.61,40.71,34,2,81.1,54.1,27.03,15.82,42.29,61.85,1
29,9,71.7,58.6,13.16,13.45,26.61,40.71,27,8,77.6,63.9,13.71,14.26,27.97,41.22,8
29,9,71.7,58.6,13.16,13.45,26.61,40.71,32,4,71.8,58.5,13.36,10.98,24.34,36.15,7
25,10,69.9,57.7,12.11,14.46,26.58,40.72,24,10,61.1,55.4,5.76,2.07,7.84,15.5,26
26,6,73.6,59.1,14.56,11.85,26.41,39.11,21,11,67.7,61.1,6.59,3.03,8.48,12.64,30
22,11,73.4,59.7,13.7,11.17,24.87,37.11,21,12,70.8,69.6,1.21,12.6,13.81,22.19,17
32,4,71.8,58.5,13.36,10.98,24.34,36.15,24,9,68.2,59.7,8.55,-0.21,6.04,10.05,14
32,4,71.8,58.5,13.36,10.98,24.34,36.15,22,11,69.6,60.3,9.24,8.91,18.15,28.0,4
32,4,71.8,58.5,13.36,10.98,24.34,36.15,22,12,69.0,61.6,7.41,9.93,15.18,24.16,10
32,4,71.8,58.5,13.36,10.98,24.34,36.15,28,7,66.3,52.2,14.06,8.59,21.02,32.19,3
24,9,67.4,57.6,9.73,13.2,22.93,34.94,27,6,69.2,50.1,19.06,4.51,18.84,22.12,12
23,10,74.8,65.0,9.82,12.08,22.51,33.12,22,7,71.2,53.0,18.21,0.49,18.7,29.68,16
28,7,66.3,52.2,14.06,8.59,21.02,32.19,24,8,64.7,54.0,10.66,-2.81,5.77,11.76,20
28,7,66.3,52.2,14.06,8.59,21.02,32.19,24,9,67.4,57.6,9.73,13.2,22.93,34.94,5
28,7,66.3,52.2,14.06,8.59,21.02,32.19,33,3,70.5,51.9,18.56,12.67,31.22,47.11,2
25,9,67.0,59.0,8.0,12.49,20.46,32.55,29,4,68.5,54.9,13.67,-5.49,8.21,16.41,14
25,9,67.0,59.0,8.0,12.49,20.46,32.55,25,10,69.9,57.7,12.11,14.46,26.58,40.72,11
28,3,75.9,59.1,16.77,3.5,20.27,30.21,18,13,61.6,56.9,4.74,11.6,16.34,26.29,6
24,11,72.6,66.6,6.03,14.18,20.21,31.82,21,12,74.4,62.8,11.55,5.06,13.8,21.88,5
24,11,72.6,66.6,6.03,14.18,20.21,31.82,26,8,67.5,60.4,7.12,12.9,20.01,28.59,13
26,8,67.5,60.4,7.12,12.9,20.01,28.59,24,9,68.7,57.6,11.06,-8.07,1.3,7.04,17
25,9,61.7,52.1,9.56,10.35,19.91,32.54,26,7,63.9,52.3,11.58,-1.48,10.1,19.03,8
25,8,61.3,48.9,12.45,8.75,19.75,32.15,25,8,66.8,59.7,7.15,-0.76,6.42,13.07,22
32,4,67.0,52.2,14.75,4.79,19.54,33.18,17,14,63.8,60.7,3.06,13.83,16.9,27.27,13
32,4,67.0,52.2,14.75,4.79,19.54,33.18,29,7,68.9,60.2,8.69,10.69,19.38,29.31,9
29,7,68.9,60.2,8.69,10.69,19.38,29.31,27,4,66.9,49.3,17.61,-6.63,10.98,19.94,5
25,9,67.9,61.4,6.5,12.17,18.67,29.57,27,7,71.1,52.6,18.5,-6.03,8.1,15.64,34
21,12,65.7,56.5,9.24,11.17,18.38,28.36,23,9,64.5,53.9,10.59,4.76,14.07,22.08,6
22,11,69.6,60.3,9.24,8.91,18.15,28.0,21,11,65.3,58.8,6.47,11.4,17.87,29.14,1
21,13,67.5,60.3,7.24,12.6,17.83,26.68,21,11,65.0,59.3,5.78,10.73,16.51,26.09,16
20,14,69.9,65.7,4.18,14.53,15.89,24.76,25,7,65.0,54.5,10.53,8.18,18.71,27.92,15
20,14,69.9,65.7,4.18,14.53,15.89,24.76,25,8,61.3,48.9,12.45,8.75,19.75,32.15,6
22,11,60.1,55.4,4.7,11.11,15.81,25.77,21,11,59.3,52.5,6.81,10.45,17.26,28.95,8
22,12,69.0,61.6,7.41,9.93,15.18,24.16,29,3,67.9,47.3,20.53,0.75,19.87,32.78,4
22,12,69.0,61.6,7.41,9.93,15.18,24.16,26,6,73.6,59.1,14.56,11.85,26.41,39.11,5
25,8,65.7,58.8,6.91,4.0,10.91,19.52,24,8,72.0,57.4,14.56,7.77,22.33,34.15,5
40,0,82.1,47.8,34.25,12.8,47.05,69.29,14,18,64.7,70.3,-5.66,-7.72,-13.37,-12.25,43
40,0,82.1,47.8,34.25,12.8,47.05,69.29,23,10,71.5,64.4,7.03,6.23,13.27,22.39,39
40,0,82.1,47.8,34.25,12.8,47.05,69.29,27,9,70.6,59.6,10.97,13.3,24.27,35.63,15
40,0,82.1,47.8,34.25,12.8,47.05,69.29,33,4,76.7,60.2,16.57,14.55,31.12,45.72,19
